TECH_PARAM_DEC_ID;TECH_PARAM_MSG_ID;TECH_PARAM_MSG_LABEL;TECH_PARAM_NAME;TECH_PARAM_DESCRIPTION
100304;1003;EV action number;NUMBER_BuoyancyInversionValveActions_COUNT;Number of solenoid valve actions needed to perform the buoyancy inversion phase when ice was detected during ascent.
100501;1005;EV transferred volume (1/10 cm3);VOLUME_OilVolumeTransferredDuringDescentToPark_cm^3;Oil volume transferred from the external bladder during the descent to park (between the second threshold of the buoyancy reduction phase and the end of the descent to park). This is the oil volume tranferred  during the NUMBER_ValveActionsDuringDescentToPark_COUNT valve actions.
100502;1005;EV action number;NUMBER_ValveActionsDuringDescentToPark_COUNT;Number of valve actions between the crossing  of the gap threshold and the end of descent at park pressure
100701;1007;EV transferred volume (1/10 cm3);VOLUME_OilVolumeTransferredDuringDescentToProfile_cm^3;Oil volume transferred from the external bladder during the descent to start profile pressure. This is the oil volume tranferred  during the NUMBER_ValveActionsDuringDescentToProfile_COUNT valve actions.
100702;1007;EV action number;NUMBER_ValveActionsDuringDescentToProfile_COUNT;number of valve actions during descent to start profile pressure
100903;1009;Stabilized entrance number;NUMBER_ParkDriftEntriesInParkMargin_COUNT;drift at park pressure: number of entries in margin around park pressure target - specifically, how many times the float enters the band of pressure surrounding the target park pressure (generally +/- 30db)
100904;1009;Unstabilized entrance number;NUMBER_ParkDriftExitsFromParkMargin_COUNT;drift at park pressure: number of exits from margin around park pressure target - specifically, how many times the float exits the band of pressure surrounding the target park pressure (generally +/- 30db)
100905;1009;Repositioning number;NUMBER_RepositionsDuringPark_COUNT;Number of times the float readjusts its buoyancy during the park phase - using either the pump or EV.
100906;1009;EV transferred volume (1/10 cm3);TECH_AUX_VOLUME_ValveOilVolumeTransferredDuringPark_cm^3;Oil volume transferred to the external bladder by the valve actions during the park phase. This is the oil volume tranferred  during the NUMBER_ValveActionsDuringPark_COUNT valve actions.
100907;1009;EV action number;NUMBER_ValveActionsDuringPark_COUNT;Number of valve actions while at park depth.
100908;1009;PUMP transferred volume (1/10 cm3);TECH_AUX_VOLUME_PumpOilVolumeTransferredDuringPark_cm^3;Oil volume transferred to the external bladder by the pump actions during the park phase. This is the oil volume tranferred  during the NUMBER_PumpActionsDuringPark_COUNT pump actions.
100909;1009;PUMP action number;NUMBER_PumpActionsDuringPark_COUNT;Number of pump actions while at park depth.
101103;1011;Stabilized entrance number;NUMBER_DescentToProfileEntriesInProfileMargin_COUNT;descent to profile pressure: number of entries in margin around profile pressure target  - specifically, how many times the float enters the band of pressure surrounding the target profile pressure (generally +/- 30db)
101104;1011;Unstabilized entrance number;TECH_AUX_NUMBER_ProfileDriftExitsFromProfileMargin_COUNT;drift at profile pressure: number of exits from margin around profile pressure target - specifically, how many times the float exits the band of pressure surrounding the target profile pressure (generally +/- 30db)
101105;1011;Repositioning number;NUMBER_RepositionsAtProfileDepth_COUNT;at profile pressure stand-by, number of times the float readjusts its buoyancy - using either the pump or EV
101106;1011;EV transferred volume (1/10 cm3);TECH_AUX_VOLUME_ValveOilVolumeTransferredDuringProfileDrift_cm^3;Oil volume transferred to the external bladder by the valve actions during the profile drift phase. This is the oil volume tranferred  during the NUMBER_ValveActionsDuringProfileDrift_COUNT valve actions.
101107;1011;EV action number;NUMBER_ValveActionsDuringProfileDrift_COUNT;number of valve actions while drifting at profile depth
101108;1011;PUMP transferred volume (1/10 cm3);TECH_AUX_VOLUME_PumpOilVolumeTransferredDuringProfileDrift_cm^3;Oil volume transferred to the external bladder by the pump actions during the profile drift phase. This is the oil volume tranferred  during the NUMBER_PumpActionsDuringProfileDrift_COUNT pump actions.
101109;1011;PUMP action number;NUMBER_PumpActionsDuringProfileDrift_COUNT;Number of pump actions during drift at profile depth.
