CONF_PARAM_DEC_ID;CONF_PARAM_LABEL;CONF_PARAM_DEFINITION;CONF_PARAM_NAME;CONF_PARAM_DESCRIPTION
TECHNICAL-SECURITY.P4;Braking factor to stop ascent on aborted profile;Braking factor to stop ascent on aborted profile;CONFIG_ProfileEvasionBrakingFactor_NUMBER;This factor defines the oil volume transferred from the external bladder when a profile evasion occurs and the float has to brake. The transferred oil volume is CONFIG_ProfileEvasionAscentSpeedFactor_NUMBER times the oil volume of the last pump action.
TECHNICAL-SECURITY-GROUNDING.P0;Volume of SV at surface before considering a grounding (cm3);Volume of SV at surface before considering a grounding (cm3);CONFIG_AUX_OilVolumeMinForSurfaceGroundingDetection_cm^3;This information is a threshold used to detect a surface grounding of the float. If there is no vertical motion after having tranfered CONFIG_OilVolumeMinForSurfaceGroundingDetection_cm^3 through the valve, the surface gounded flag is activated.
TECHNICAL-SECURITY-GROUNDING.P1;Volume of SV on descent before considering a grounding (cm3);Volume of SV on descent before considering a grounding (cm3);CONFIG_OilVolumeMinForGroundingDetection_cm^3;This information is a threshold used to detect a grounding of the float. If there is no vertical motion after having tranfered CONFIG_OilVolumeMinForGroundingDetection_cm^3 through the valve, the gounded flag is activated and the float acts as configurated by the CONFIG_GroundingMode_LOGICAL parameter.So, yes it is a configuration parameter (and I can easily understand that it can be modified via remote control since some PROVOR floats have experienced erroneous grounding detection (under study but perhaps due to in-situ conditions).
TECHNICAL-SECURITY-GROUNDING.P2;Speed of stabilization on descent (cm/s);Speed of stabilization on descent (cm/s);CONFIG_AUX_DescentSpeedForGroundingDetection_cm/s;Descent speed threshold to check for a possible grounding of the float.
TECHNICAL-SECURITY-GROUNDING.P3;Behaviour on grounding in “descent to parking” or “parking drift” (0: pressure switch, 1: stay grounded, 2: immediate ascent);Behaviour on grounding in “descent to parking” or “parking drift” (0: pressure switch, 1: stay grounded, 2: immediate ascent);CONFIG_GroundingMode_NUMBER;Action performed by the float when a grounding is detected. 0: the float changes its drift pressure, 1: the float stays on the seabed until the next phase of the cycle. For PROVOR CTS5 the number assigned to each mode has changed - see float manual for details for this model.
TECHNICAL-SECURITY-GROUNDING.P4;Behaviour on grounding in “descent to profile” or “profile drift” (0: pressure switch, 1: stay grounded, 2: immediate ascent);Behaviour on grounding in “descent to profile” or “profile drift” (0: pressure switch, 1: stay grounded, 2: immediate ascent);CONFIG_GroundingModeForProfileDepth_NUMBER;Action performed by the float when a grounding is detected during descent to profile depth. For PROVOR CTS5 floats: 2: the float stays on the seabed until the ascent start time, 3: the ascent starts immediately.
TECHNICAL-SECURITY-GROUNDING.P5;Minimum pressure before allowing switch on depth setpoint (dbar);Minimum pressure before allowing switch on depth setpoint (dbar);CONFIG_GroundingModeMinPresThreshold_dbar;If in grounding mode 0, the float changes its drift pressure only if its current pressure is greater than this value.
TECHNICAL-SECURITY-GROUNDING.P6;Offset pressure of depth setpoint (dbar);Offset pressure of depth setpoint (dbar);CONFIG_GroundingModePresAdjustment_dbar;If in grounding mode 0, the float changes its drift pressure to its programmed one minus this value only if its current pressure is greater than this value.
TECHNICAL-HYDRAULIC.P0;Multiplier coefficient of hydraulic algorithm;Multiplier coefficient of hydraulic algorithm;CONFIG_AUX_HydraulicAlgorithmMultiplierFactor_NUMBER;Multiplier coefficient of hydraulic algorithm.
TECHNICAL-HYDRAULIC-SV.P0;Minimum duration of SV activation (ms);Minimum duration of SV activation (ms);CONFIG_AUX_ValveActionMinTime_msec;Minimum duration of a valve action.
TECHNICAL-HYDRAULIC-SV.P1;SV efficiency (%);SV efficiency (%);CONFIG_AUX_ValveEfficiency_percent;Valve efficiency (%).
TECHNICAL-HYDRAULIC-PUMP.P0;Minimum duration of PUMP activation (ms);Minimum duration of PUMP activation (ms);CONFIG_AUX_PumpActionMinTime_msec;Minimum duration of a pump action.
TECHNICAL-HYDRAULIC-PUMP.P1;PUMP efficiency (%);PUMP efficiency (%);CONFIG_AUX_PumpEfficiency_percent;Pump efficiency (%).
SENSORS-SENSORXX.P0;Enable/disable the sensor;Enable/disable the sensor;CONFIG_AUX_<short_sensor_name>Enable_LOGICAL;Enable/disable <short_sensor_name> sensor.
SENSORS-SENSORXX.P1;Format of treated data;Format of treated data;CONFIG_AUX_<short_sensor_name>TransmittedDataFormat_NUMBER;Format of <short_sensor_name> transmitted data (coded value that depends on each sensor).
SENSORS-SENSORXX.P2;Datation frequency of treated data;Datation frequency of treated data;CONFIG_AUX_<short_sensor_name>DatationFrequency_NUMBER;Datation frequency of <short_sensor_name> sampled data (N means that we have 1 dated level each N measurements).
SENSORS-SENSORXX-DESCENT.P0;Enable/disable acquisition on “descent to parking”;Enable/disable acquisition on “descent to parking”;CONFIG_AUX_<short_sensor_name>DescentToParkPhaseEnableAcquisition_LOGICAL;Enable/disable acquisition during “descent to parking” phase.
SENSORS-SENSORXX-DESCENT.P1;Enable/disable acquisition on “descent to profile”;Enable/disable acquisition on “descent to profile”;CONFIG_AUX_<short_sensor_name>DescentToProfPhaseEnableAcquisition_LOGICAL;Enable/disable acquisition during “descent to profile” phase.
SENSORS-SENSORXX-DESCENT-ZONEN.P0;Zone N - Pressure threshold between zone N and zone N+1;Zone N - Pressure threshold between zone N and zone N+1;CONFIG_AUX_<short_sensor_name>DescentPhasesDepthZone<N>DepthZone<N+1>PressureThreshold_dbar;Threshold between depth zone #N and depth zone #N+1 for <short_sensor_name> in the descent phases (in dbar).
SENSORS-SENSORXX-DESCENT-ZONEN.P1;Zone N - Sampling period (s);Zone N - Sampling period (s);CONFIG_AUX_<short_sensor_name>DescentPhasesDepthZone<N>SamplingPeriod_dbar;Sampling period for the depth zone #<N> of the <short_sensor_name> sensor while sampling during the descent phases of the cycle.
SENSORS-SENSORXX-DESCENT-ZONEN.P2;Zone N - Acquisition type (0: none, 1: continu, 2: pulsed, 3: spot sampling);Zone N - Acquisition type (0: none, 1: continu, 2: pulsed, 3: spot sampling);CONFIG_AUX_<short_sensor_name>DescentPhasesDepthZone<N>PowerAcquisitionMode_NUMBER;Power acquisition mode of the <short_sensor_name> in the depth zone #<N> during the descent phases (0 : none, 1 : continuous, 2 : pulsed, 3 : spot sampling).
